Z-XX-A-m;n;p;Svyazey;X;Y;Z;centrX;centrY;centrZ;Centrobeg;He4;He3;H3;H2;p;n;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;Binding
10-Ne-26;16;10;42;16;16;10;5,5;5,5;2,538461538;34,53001515;5;0;0;0;0;6;2;6;6;0;2;0;0;2;0;4;2;2;201,605
10-Ne-27;17;10;43;16;16;11;5,444444444;5,444444444;2,518518519;36,61584324;5;0;0;0;0;7;3;6;6;0;2;0;0;1;1;4;2;2;203,036
10-Ne-28;18;10;44;16;16;12;5,5;5,5;2,5;38,77265583;5;0;0;0;0;8;4;6;6;0;2;0;0;0;2;4;2;2;206,938
10-Ne-29;19;10;45;16;17;12;5,517241379;5,413793103;2,517241379;41,27930811;5;0;0;0;0;9;5;6;6;0;2;0;0;0;2;3;3;2;208,149
10-Ne-30;20;10;46;16;18;12;5,5;5,5;2,533333333;43,87167535;5;0;0;0;0;10;6;6;6;0;2;0;0;0;2;2;4;2;211,221
10-Ne-31;21;10;47;17;18;12;5,419354839;5,516129032;2,548387097;46,3806194;5;0;0;0;0;11;7;6;6;0;2;0;0;0;2;1;5;2;211,592
10-Ne-32;22;10;48;18;18;12;5,5;5,5;2,5625;48,97069486;5;0;0;0;0;12;8;6;6;0;2;0;0;0;2;0;6;2;213,164
10-Ne-33;23;10;49;18;19;12;5,454545455;5,424242424;2,575757576;51,85564485;5;0;0;0;0;13;9;6;6;0;2;0;0;0;1;1;6;2;212,535
10-Ne-34;24;10;50;18;20;12;5,5;5,5;2,588235294;54,80164676;5;0;0;0;0;14;10;6;6;0;2;0;0;0;0;2;6;2;213,507
11-Na-18;7;11;25;11;10;4;5,5;5,444444444;3;22,48354097;2;2;0;1;2;0;0;1;4;0;1;1;2;7;0;1;1;0;112,49
11-Na-19;8;11;27;12;11;4;5,578947368;5,368421053;3;24,42834081;3;1;0;1;2;0;0;2;4;0;1;1;2;5;2;1;1;0;131,824
11-Na-20;9;11;29;13;12;4;5,5;5,45;3;26,73204929;4;0;0;1;2;0;0;3;4;0;1;1;2;3;4;1;1;0;145,975
11-Na-21;10;11;32;14;13;5;5,476190476;5,428571429;2,952380952;27,35941251;4;1;0;1;0;0;0;3;5;0;1;1;0;5;4;1;0;1;163,078
11-Na-22;11;11;35;15;14;6;5,5;5,454545455;2,909090909;28,15214751;5;0;0;1;0;0;0;3;6;0;1;1;0;3;6;0;1;1;174,148
11-Na-23;12;11;37;15;15;7;5,52173913;5,391304348;2,869565217;29,58890627;5;0;0;1;0;1;0;4;6;0;1;1;0;3;4;2;1;1;186,567
11-Na-24;13;11;39;15;16;8;5,5;5,458333333;2,833333333;31,31813354;5;0;0;1;0;2;0;5;6;0;1;1;0;3;2;4;1;1;193,527
11-Na-24-m 0,472 MeV;13;11;39;16;15;8;5,458333333;5,416666667;2,833333333;31,22102989;5;0;0;1;0;2;0;5;6;0;1;1;0;3;2;4;1;1;193,055
11-Na-25;14;11;41;16;16;9;5,44;5,48;2,8;32,89405495;5;0;0;1;0;3;0;6;6;0;1;1;0;3;1;4;2;1;202,538
11-Na-26;15;11;43;17;16;10;5,5;5,461538462;2,769230769;34,48440259;5;0;0;1;0;4;0;7;6;0;1;1;0;3;0;4;3;1;208,114
11-Na-27;16;11;45;17;17;11;5,518518519;5,481481481;2,814814815;35,21520616;5;0;1;0;0;4;0;8;6;0;1;1;0;2;1;4;2;2;214,841
11-Na-28;17;11;47;17;18;12;5,535714286;5,428571429;2,857142857;36,70330154;5;0;1;0;0;5;0;9;6;0;1;1;0;2;0;4;3;2;218,384
11-Na-29;18;11;49;18;18;13;5,586206897;5,413793103;2,896551724;38,15360807;5;0;1;0;0;6;0;10;6;0;1;1;0;2;0;2;5;2;222,802
11-Na-30;19;11;50;18;18;14;5,6;5,4;2,833333333;38,69728712;5;0;1;0;0;7;1;10;6;0;1;1;0;2;0;2;4;3;225,178
