,Z-XX-A-m,Binding,Predicted
1796,54-Xe-133,1118.668,1140.658677277684
1797,54-Xe-134,1127.4541,1145.4159535332917
1798,54-Xe-134,1125.488,1139.9809053899646
1799,54-Xe-135,1133.818,1159.0407557349802
1800,54-Xe-135,1133.291,1142.839720466435
1801,54-Xe-136,1141.897,1156.2805506565571
1802,54-Xe-137,1145.923,1168.1648676455616
1803,54-Xe-138,1151.765,1167.0597857663035
1804,54-Xe-139,1155.33,1185.1571575372218
1805,54-Xe-140,1160.748,1177.9956220516563
1806,54-Xe-141,1164.16,1195.0291556687355
1807,54-Xe-142,1169.3811,1188.8051025600432
1808,54-Xe-143,1172.413,1198.8513241862058
1809,54-Xe-144,1177.344,1201.5297916997074
1810,54-Xe-145,1180.2161,1207.9726865150928
1811,54-Xe-146,1184.887,1212.3051523988843
1812,54-Xe-147,1187.5591,1226.9652970895768
1813,55-Cs-112,907.273,940.1279348607064
1814,55-Cs-113,920.744,949.7740923503042
1815,55-Cs-114,931.61597,955.786552649498
1816,55-Cs-115,944.887,968.180417118907
1817,55-Cs-116,955.329,971.9734650666119
1818,55-Cs-116,955.229,980.442176685989
1819,55-Cs-117,967.771,984.4448177474142
1820,55-Cs-117,967.62103,976.2980571482778
1821,55-Cs-118-m ,977.81104,989.0462427133323
1822,55-Cs-118,977.81104,1003.391935242951
1823,55-Cs-119,989.779,1008.3159361340404
1824,55-Cs-119-m ,989.779,990.294552802682
1825,55-Cs-120,999.43396,1009.4468890774251
1826,55-Cs-120-m ,999.43396,1028.4180029222964
1827,55-Cs-121,1010.717,1029.264749103248
1828,55-Cs-121,1010.64905,1010.7276942231656
1829,55-Cs-122,1019.828,1030.8436339008808
1830,55-Cs-122,1019.698,1034.241117027521
1831,55-Cs-122,1019.688,1034.0186508722304
1832,55-Cs-123,1030.803,1049.9014845501183
1833,55-Cs-123,1030.647,1034.327478888929
1834,55-Cs-124,1039.562,1053.7275274781584
1835,55-Cs-124,1039.099,1069.6023623729347
1836,55-Cs-125,1049.99,1073.7223605803251
1837,55-Cs-125,1049.99,1058.2383412291408
1838,55-Cs-126,1058.319,1078.6069924607873
1839,55-Cs-127,1068.2859,1093.10066247797
1840,55-Cs-127,1067.834,1086.2844494570493
1841,55-Cs-128,1076.048,1100.5532786802053
1842,55-Cs-129,1085.6891,1115.8223307352662
1843,55-Cs-130,1093.16,1127.3307049180269
1844,55-Cs-130,1092.9971,1121.663442102492
